epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.16572,2.48175,6.52862,2.61861,0.04996,0.33333,0.05527,0.01421,2.10593,5.53094,2.37642,0.1,0,0
2,1.52969,2.14021,6.1522,2.13865,0.0599,0.5,0.05319,0.02095,2.00632,6.14383,2.30017,0.099001,9.99756e-07,9.99756e-07
3,1.87164,2.02808,6.44086,2.52453,0.04816,0.5,0.05369,0.01728,2.0572,5.83975,2.31622,0.098002,1.99805e-06,1.99805e-06
4,2.19905,2.20268,7.29135,2.4001,0.06486,0.5,0.04596,0.01138,2.05769,5.95553,2.30103,0.097003,2.99341e-06,2.99341e-06
5,2.53443,1.72136,5.92946,1.78914,0.04289,0.33333,0.02877,0.00917,2.09225,6.12716,2.33312,0.096004,3.98439e-06,3.98439e-06
6,2.87086,1.71717,8.32329,2.22908,0.03791,0.33333,0.02805,0.00872,2.15369,5.93624,2.37808,0.095005,4.96953e-06,4.96953e-06
7,3.20372,1.94643,5.48139,2.40224,0.03201,0.33333,0.02812,0.00904,2.19266,5.8543,2.38287,0.0940059,5.94739e-06,5.94739e-06
8,3.52997,2.32893,8.86576,2.58829,0.03199,0.33333,0.02697,0.00762,2.19116,5.95489,2.39725,0.0930069,6.91655e-06,6.91655e-06
9,3.91091,1.73842,6.82837,2.03109,0.17886,0.16667,0.25779,0.067,1.95819,3.27285,2.23495,0.0920079,7.87559e-06,7.87559e-06
10,4.49996,1.89587,3.08544,2.13097,0,0,0,0,1.62744,2.55383,1.86606,0.0910088,8.82311e-06,8.82311e-06
11,5.08514,1.5554,2.6112,1.62883,0.5,0.16667,0.37416,0.29933,1.59479,2.4348,1.86774,0.0900098,9.75773e-06,9.75773e-06
12,5.67854,1.57335,2.46758,2.17092,0.5,0.16667,0.37416,0.26191,1.90155,2.45172,2.01257,0.0890107,1.06781e-05,1.06781e-05
13,6.63204,1.32981,1.91441,1.72915,1,0.16667,0.58332,0.40832,2.08582,2.48285,2.1126,0.0880116,1.15829e-05,1.15829e-05
14,7.17096,1.58064,1.67482,2.00636,0.66667,0.33333,0.49943,0.24116,2.16199,2.4261,2.17595,0.0870125,1.24708e-05,1.24708e-05
15,7.67202,2.11289,1.68859,2.5883,0.4,0.33333,0.41099,0.239,2.26228,2.37962,2.18864,0.0860133,1.33405e-05,1.33405e-05
16,8.20064,1.65027,1.51954,1.84539,0.4,0.33333,0.30016,0.16991,2.34188,2.30115,2.21403,0.0850142,1.41907e-05,1.41907e-05
17,8.8566,1.26695,1.25993,1.46983,0.72006,0.44013,0.48054,0.17556,2.46254,2.12126,2.3311,0.084015,1.50203e-05,1.50203e-05
18,9.35856,1.78423,1.49794,2.26644,0.72006,0.44013,0.48054,0.17556,2.46254,2.12126,2.3311,0.0830158,1.58281e-05,1.58281e-05
19,9.87712,1.4367,1.24019,1.77376,0.5,0.66667,0.58248,0.17852,2.298,2.09845,2.18932,0.0820166,1.6613e-05,1.6613e-05
20,10.3813,1.49079,1.33403,2.02182,0.5,0.66667,0.58248,0.17852,2.298,2.09845,2.18932,0.0810174,1.73737e-05,1.73737e-05
21,10.9068,1.24834,1.23583,1.5983,0.57143,0.66667,0.56765,0.16841,2.20107,2.053,2.0921,0.0800181,1.81093e-05,1.81093e-05
22,11.45,1.17873,1.40857,1.39667,0.57143,0.66667,0.56765,0.16841,2.20107,2.053,2.0921,0.0790188,1.88187e-05,1.88187e-05
23,11.963,1.27938,1.54922,1.61008,0.56167,0.5,0.50183,0.20967,2.09665,2.05187,2.00863,0.0780195,1.95009e-05,1.95009e-05
